DATE,DYCO
2005-10-31,0.01997838
2005-11-01,0.01670814
2005-11-03,0.0138144
2005-11-04,-0.01144402
2005-11-07,0.00915709
2005-11-08,0.00146179
2005-11-09,-0.00161595
2005-11-10,-0.00462396
2005-11-11,0.00343166
2005-11-14,-0.01184032
2005-11-16,0.00802931
2005-11-17,0.01644659
2005-11-18,0.00185899
2005-11-21,0.00132693
2005-11-22,-0.00333652
2005-11-23,0.01581411
2005-11-24,0.00323748
2005-11-25,0.00283485
2005-11-28,0.0027147
2005-11-29,-0.00693308
2005-11-30,-0.00095697
2005-12-01,0.01801422
2005-12-02,0.00802102
2005-12-05,-0.00367375
2005-12-06,0.00961383
2005-12-07,-0.00262525
2005-12-08,-0.00899028
2005-12-09,-0.0017883
2005-12-12,0.0096743
2005-12-13,-0.00174649
2005-12-14,0.00883009
2005-12-15,-0.00729755
2005-12-16,0.00656017
2005-12-19,-0.00252156
2005-12-20,-0.0094358
2005-12-21,0.01208468
2005-12-22,0.00445644
2005-12-23,0.00208748
2005-12-26,-0.00642481
2005-12-27,0.01505593
2005-12-28,-0.00319533
2005-12-29,0.00429898
2005-12-30,-3.106e-05
2006-01-02,-0.00299082
2006-01-03,0.02265828
2006-01-04,0.02161711
2006-01-05,-0.00424764
2006-01-06,0.01345481
2006-01-09,-0.00139637
2006-01-10,-0.0108144
2006-01-11,0.01316519
2006-01-12,0.00440777
2006-01-13,-0.00499684
2006-01-16,0.00852647
2006-01-17,-0.01057317
2006-01-18,-0.01498831
2006-01-19,0.03247702
2006-01-20,-5.898e-05
2006-01-23,-0.00593057
2006-01-24,0.01547343
2006-01-25,-1.189e-05
2006-01-26,0.01966443
2006-01-27,0.02037747
2006-01-30,-0.01441525
2006-01-31,0.00336762
2006-02-01,0.00402347
2006-02-02,-0.01048635
2006-02-03,-0.01689425
2006-02-06,0.01410779
2006-02-07,-0.00994723
2006-02-08,-0.00721992
2006-02-09,0.00937892
2006-02-10,0.01101958
2006-02-13,-0.00417249
2006-02-14,-0.00113574
2006-02-15,0.01156794
2006-02-16,0.01154835
2006-02-17,0.00600615
2006-02-20,0.00026306
2006-02-21,0.0005196
2006-02-22,0.00315281
2006-02-23,0.00132393
2006-02-24,8.132e-05
2006-03-01,0.01975611
2006-03-02,0.00462891
2006-03-03,0.0041682
2006-03-06,-0.00135383
2006-03-07,-0.02257369
2006-03-08,-0.00614319
2006-03-09,0.00063987
2006-03-10,0.0027756
2006-03-13,0.00557916
2006-03-14,0.00223487
2006-03-15,0.01565342
2006-03-16,0.00710057
2006-03-17,0.00067166
2006-03-20,0.00690811
2006-03-21,-0.0109451
2006-03-22,0.00446853
2006-03-23,-0.00571689
2006-03-24,-0.00390483
2006-03-27,-0.00829919
2006-03-28,-0.01398948
2006-03-29,-0.00368353
2006-03-30,0.01009547
2006-03-31,-0.00096835
2006-04-03,0.01762755
2006-04-04,0.0117483
2006-04-05,0.00413525
2006-04-06,0.00836778
2006-04-07,-0.00548413
2006-04-10,-0.00987467
2006-04-11,-0.01064475
2006-04-12,-0.00294668
2006-04-13,-0.00309223
2006-04-17,0.00107287
2006-04-18,0.01046074
2006-04-19,0.00826837
